"Home page / Archives",685
"Tentang",31
"Kamu Lihat Itu, Jake?",29
"Mengenang Tingkat Dua dan Tahun Baru",28
"UN. SNMPTN. Dan Selanjutnya.",26
"Sudah 2 Minggu",26
"Konten Setahun Kedepan",24
"Pertanyaan 100 Ribu Rupiah",22
"UTS Tiap Sabtu.",20
"Rapor Akhir Tahun. Peta Tahun Baru.",20
"Kebebasan Sedang Sekarat!",20
"#2856 Singkatnya...",19
"Antara Nilai dan Rasa",17
"Dekret Desember 21, 2016.",16
"Berlubang Karena Lupa: Astramatika",16
"Tuhan Adalah Matematika.",16
"Masih Aktif, Kok.",16
"Cara Lebih Baik Melihat Hidup.",15
"Besok Kuis Sabtu UTS",15
"Menilai Hafalan",15
"Tak Bermakna",14
"#1. Baru Mulai Belajar",14
"Mengisi Kehampaan (0/5)",14
"Sudah Lama. Sejak Masa MOS.",13
"#5-6-7: H-2882",13
"Agregator",13
"Ini Minggu ke-6 ??",13
"Ketika Mimpi Seperti Kenyataan",12
"8 Hari Lagi",11
"Selamat HUT, Smansa!",11
"674: Catatan Log",11
"Berbakti Untuk Mereka",11
"Catatan Satu (yang Seharusnya Tiga).",11
"Catatan Nol Titik Satu.",11
"Pengisi Kekosongan",11
"Wejangan Terakhir(?)",10
"#2. Masih Boros.",10
"H-7 Kuliah Lagi",10
"Pesan",10
"Menyapa Ubuntu",10
"Mengisi Kekosongan (1/5)",10
"#3-4: Lupa Waktu",10
"Catatan Nol.",10
"#0: Catatan Sebelum Kuliah",10
"Pertanyaan 120 Ribu Rupiah",10
"'Siksaan' Udara Dingin.",9
"Tidak Benar Benar Sekolah",9
"675: Catatan LINE",8
"Kreativitas Kabel Listrik.",8
"Merancang Kutipan",8
"Penasaran",8
"Malam Berpikir",8
"676: Visi dan Misi",8
"Saya Berbohong",7
"Masih Suka Nokia",7
"Hari Terakhir",6
"Satu Hal di Liburan Ini",6
"Artefak Masa Kecil.",6
"670: Kenangan Wisokto 2018",5
"The Mighty #0",5
"Penelitian Kecil-Kecilan",5
"Masalah.",5
"Q: Mengecek Kebenaran Solusi",4
"Kamus: Mencoba dan Gagal (2)",4
"Rangkuman Minggu Ini",4
"671: Rilis Tugas Besar KWN",4
"Sebuah Imajinasi Lama.",4
"Foto to-do list.",3
"Gaya Baru (Mentah)",3
"Lamunan 1.0.0",3
"Really Bad Chess",3
"Masih di Folder WABAC",3
"Juga di Folder WABAC: Mirai Nikki",3
"Mencari Jawaban.",2
"""This Week Review"",2
"(unknown or deleted)",2
"Obituari Lagi",2
"Tentang Diri di Internet.",2
"(unknown or deleted)",1
"(unknown or deleted)",1
